#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-12T10:22:27 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-12T10:22:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/219/4&-out=Name,_RA,_DE,n,Re,q&-out.max=unlimited&-sort=Name	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJS_219_4_galaxies:
#Name: J/ApJS/219/4/galaxies
#Title: Parameters of the galaxies;  center, outer orientation, sky background; and 1-component Sersic fits
#Column	Name	(a10)	Galaxy name (IDE)	[ucd=meta.id;meta.main]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	n	(F6.3)	[0.3/19]? Sersic index	[ucd=stat.fit.param]
#Column	Re	(F7.2)	[5/7631]? Effective radius	[ucd=phys.angSize]
#Column	q	(F6.3)	[0.07/1]? Axial ratio	[ucd=phys.size.axisRatio]
Name	_RA	_DE	n	Re	q
NGC3448   	163.66350	+54.30523	 2.691	  24.50	 0.358
NGC3454   	163.62274	+17.34405	 0.814	  29.43	 0.119
NGC3455   	163.62944	+17.28461	 0.943	  19.48	 0.579
NGC3468   	164.37984	+40.94620	 5.161	  21.11	 0.522
NGC3471   	164.78757	+61.53045	 3.610	  12.78	 0.549
NGC3485   	165.00996	+14.84155	 1.464	  35.57	 0.722
NGC3486   	165.09977	+28.97482	 3.800	  68.98	 0.751
NGC3488   	165.34807	+57.67749	 1.146	  22.16	 0.676
NGC3489   	165.07745	+13.90126	 4.533	  20.36	 0.634
NGC3495   	165.31737	+03.62804	 0.759	  67.69	 0.210
NGC3501   	165.69711	+17.98953	 1.228	  37.31	 0.111
NGC3504   	165.79663	+27.97244	12.524	  39.39	 0.622
NGC3507   	165.85582	+18.13534	 5.074	 138.44	 0.753
NGC3510   	165.93065	+28.88711	 1.495	  39.44	 0.220
NGC3511   	165.84903	-23.08679	 1.980	  73.05	 0.315
NGC3512   	166.01245	+28.03683	 1.668	  18.39	 0.804
NGC3513   	165.94200	-23.24548	 1.425	  45.90	 0.722
NGC3521   	166.45247	-00.03590	 2.488	  76.76	 0.538
NGC3522   	166.66855	+20.08562	 7.394	  18.28	 0.556
NGC3526   	166.73593	+07.17392	 1.144	  32.36	 0.191
NGC3547   	167.48312	+10.72074	 0.905	  18.49	 0.415
NGC3549   	167.73710	+53.38766	 0.832	  38.07	 0.325
NGC3556   	167.87903	+55.67412	 1.606	 128.64	 0.180
NGC3583   	168.54575	+48.31838	 2.761	  23.78	 0.722
NGC3589   	168.80846	+60.70086	 0.821	  27.01	 0.460
NGC3592   	168.61351	+17.26020	 1.366	  27.27	 0.171
NGC3593   	168.65417	+12.81802	 3.224	  27.35	 0.369
NGC3596   	168.77592	+14.78712	 2.498	  44.54	 0.978
NGC3599   	168.86230	+18.11037	12.628	 166.07	 0.849
NGC3600   	168.96658	+41.59138	 2.078	  18.75	 0.441
NGC3608   	169.24570	+18.14853	 5.916	  49.54	 0.790
NGC3611   	169.37565	+04.55543	 3.359	  11.99	 0.674
NGC3614   	169.58914	+45.74829	 1.606	  39.81	 0.727
NGC3619   	169.84009	+57.75768	12.214	 146.41	 0.878
NGC3622   	170.05179	+67.24180	 1.499	  15.40	 0.522
NGC3623   	169.73315	+13.09221	 1.687	  74.19	 0.401
NGC3625   	170.13023	+57.78132	 1.308	  18.29	 0.352
NGC3626   	170.01581	+18.35679	10.526	  68.64	 0.592
NGC3627   	170.06261	+12.99129	 2.852	  92.20	 0.505
NGC3628   	170.07091	+13.58949	 1.954	 131.58	 0.194
NGC3629   	170.13257	+26.96341	 1.411	  27.98	 0.776
NGC3631   	170.26227	+53.16943	 5.627	  96.42	 0.953
NGC3633   	170.10922	+03.58549	 1.824	   9.22	 0.356
NGC3637   	170.16489	-10.25736	 5.420	  20.26	 0.827
NGC3642   	170.57506	+59.07424	 9.022	 134.92	 0.970
NGC3648   	170.63120	+39.87697	 5.911	  15.44	 0.584
NGC3652   	170.66273	+37.76504	 1.066	  20.03	 0.596
NGC3654   	171.04469	+69.41309	 1.169	  17.66	 0.435
NGC3655   	170.72752	+16.59017	 1.606	  14.79	 0.636
NGC3659   	170.93957	+17.81857	 1.250	  19.18	 0.457
NGC3664   	171.10107	+03.32499	 1.869	  56.33	 0.476
NGC3666   	171.10867	+11.34201	 1.349	  26.70	 0.281
NGC3669   	171.36172	+57.72116	 0.870	  33.15	 0.186
NGC3672   	171.26032	-09.79540	 0.974	  43.58	 0.392
NGC3673   	171.30212	-26.73667	 3.872	  87.10	 0.449
NGC3675   	171.53577	+43.58592	 2.719	  63.11	 0.467
NGC3681   	171.62417	+16.86322	 3.518	  24.67	 0.799
NGC3682   	171.92166	+66.58978	 3.063	  11.49	 0.575
NGC3683   	171.88287	+56.87671	 1.168	  25.00	 0.709
NGC3683A  	172.29886	+57.13218	 1.168	  25.00	 0.709
NGC3684   	171.79655	+17.03031	 1.677	  26.29	 0.660
NGC3686   	171.93309	+17.22406	 1.012	  41.38	 0.799
NGC3687   	172.00237	+29.51104	 3.748	  28.56	 0.816
NGC3689   	172.04585	+25.66104	 1.546	  17.87	 0.594
NGC3691   	172.03923	+16.92047	 0.531	  19.80	 0.645
NGC3692   	172.10022	+09.40775	 1.301	  24.54	 0.226
NGC3701   	172.37042	+24.09350	 1.458	  18.78	 0.500
NGC3705   	172.53107	+09.27663	 2.453	  36.66	 0.569
NGC3712   	172.78875	+28.56667	 3.895	 167.54	 0.225
NGC3715   	172.88472	-14.23132	 1.362	  10.97	 0.703
NGC3718   	173.14558	+53.06783	14.748	 802.67	 0.888
NGC3726   	173.33822	+47.02909	 0.762	  78.63	 0.584
NGC3729   	173.45550	+53.12550	 1.378	  36.57	 0.640
NGC3730   	173.65637	-09.64655	 2.020	   8.76	 0.732
NGC3733   	173.75659	+54.85052	 2.006	  74.23	 0.449
NGC3735   	173.98886	+70.53559	 1.632	  30.60	 0.199
NGC3738   	173.94625	+54.52556	 1.388	  36.00	 0.748
NGC3752   	173.13415	+74.62756	 1.396	  21.53	 0.429
NGC3755   	174.13901	+36.41030	 1.853	  32.23	 0.429
NGC3756   	174.19989	+54.29368	 0.689	  47.95	 0.497
NGC3757   	174.26177	+58.41565	 4.632	   6.06	 0.822
NGC3769   	174.43377	+47.89309	 1.236	  26.42	 0.359
NGC3773   	174.55403	+12.11192	 4.453	  17.81	 0.923
NGC3779   	174.71312	-10.58389	 1.750	  25.95	 0.430
NGC3780   	174.84322	+56.27072	 1.058	  41.91	 0.721
NGC3782   	174.83617	+46.51339	 0.972	  22.60	 0.444
NGC3786   	174.92697	+31.90936	      	       	
NGC3788   	174.93582	+31.93131	 1.483	  21.21	 0.287
NGC3794   	175.22607	+56.20225	 1.437	  31.47	 0.594
NGC3795   	175.02850	+58.61316	 0.944	  22.32	 0.225
NGC3795A  	174.83979	+58.26844	 1.406	  37.75	 0.866
NGC3810   	175.24474	+11.47113	 1.891	  36.19	 0.712
NGC3813   	175.32773	+36.54670	 0.880	  25.19	 0.402
NGC3835   	176.02031	+60.11968	 1.224	  20.81	 0.303
NGC3846A  	176.06155	+55.03505	 1.593	  35.99	 0.520
NGC3850   	176.39750	+55.88664	 1.637	  42.52	 0.404
NGC3870   	176.48597	+50.19991	 2.439	   9.71	 0.485
NGC3876   	176.36099	+09.16074	 1.996	  14.08	 0.688
NGC3877   	176.53242	+47.49450	 0.720	  58.86	 0.225
NGC3879   	176.70585	+69.38366	 1.213	  28.83	 0.292
NGC3885   	176.69379	-27.92218	 5.795	  13.75	 0.484
NGC3887   	176.76901	-16.85464	 1.398	  50.56	 0.630
NGC3888   	176.89305	+55.96726	 2.004	  17.30	 0.623
NGC3892   	177.00417	-10.96200	 4.322	  61.34	 0.708
NGC3893   	177.15920	+48.71079	 2.124	  37.07	 0.759
NGC3896   	177.23492	+48.67466	 3.006	  40.62	 0.667
NGC3898   	177.31404	+56.08435	 6.871	  44.28	 0.597
NGC3900   	177.28931	+27.02207	 4.132	  41.70	 0.624
NGC3901   	175.70758	+77.37257	 1.539	  31.02	 0.539
NGC3904   	177.30502	-29.27669	 5.724	  44.54	 0.720
NGC3906   	177.41873	+48.42596	 1.259	  27.73	 0.720
NGC3912   	177.51854	+26.47900	 1.802	  16.32	 0.343
NGC3913   	177.66220	+55.35387	 2.834	  32.86	 0.971
NGC3917   	177.68953	+51.82421	 0.719	  63.61	 0.232
NGC3922   	177.80611	+50.15675	 3.688	  23.67	 0.405
NGC3928   	177.94868	+48.68314	 4.496	  11.25	 0.936
NGC3930   	177.94177	+38.01513	 1.863	  75.05	 0.618
NGC3931   	177.80586	+52.00091	 8.699	  48.74	 0.837
NGC3936   	178.08580	-26.90589	 0.827	  42.13	 0.184
NGC3938   	178.20605	+44.12073	 1.803	  59.28	 0.954
NGC3941   	178.23067	+36.98638	 4.137	  25.09	 0.639
NGC3949   	178.42395	+47.85878	 1.162	  27.57	 0.576
NGC3952   	178.41934	-03.99652	 1.433	  23.28	 0.332
NGC3953   	178.45428	+52.32654	 2.548	  86.10	 0.563
NGC3955   	178.48808	-23.16427	 1.461	  22.61	 0.367
NGC3956   	178.50287	-20.56733	 2.165	  44.18	 0.350
NGC3962   	178.66710	-13.97499	 6.057	  60.24	 0.798
NGC3972   	178.93799	+55.32067	 1.055	  46.49	 0.278
NGC3976   	178.98874	+06.74944	 4.811	  23.77	 0.386
NGC3981   	179.03102	-19.89618	 2.301	  33.10	 0.351
NGC3982   	179.11737	+55.12536	 0.856	  17.17	 0.840
NGC3985   	179.17545	+48.33396	 1.906	  18.39	 0.675
NGC3992   	179.39993	+53.37452	 5.573	 297.51	 0.581
NGC3998   	179.48389	+55.45359	 7.050	  22.11	 0.807
NGC4010   	179.65830	+47.26131	 0.978	  52.86	 0.117
NGC4013   	179.63090	+43.94702	 1.206	  47.48	 0.135
NGC4020   	179.73723	+30.41362	 0.725	  29.50	 0.372
NGC4027   	179.87570	-19.26517	 1.570	  40.96	 0.714
NGC4030   	180.09851	-01.09996	 1.942	  30.61	 0.805
NGC4032   	180.13673	+20.07390	 1.382	  19.20	 0.817
NGC4034   	180.37347	+69.32392	 1.496	  27.16	 0.626
NGC4035   	180.12172	-15.94844	 1.046	  18.97	 0.780
NGC4037   	180.34870	+13.40115	 3.317	 109.02	 0.664
NGC4038   	180.47084	-18.86759	 0.762	  71.43	 0.510
NGC4039   	180.47375	-18.88556	 2.499	  81.43	 0.523
NGC4041   	180.55072	+62.13729	 1.962	  14.48	 0.868
NGC4045   	180.67609	+01.97677	 9.540	  61.22	 0.874
NGC4049   	180.72607	+18.75136	 0.605	  17.61	 0.537
NGC4050   	180.72482	-16.37360	 1.804	  68.66	 0.480
NGC4051   	180.79036	+44.53126	      	       	
NGC4062   	181.01597	+31.89581	 0.718	  53.24	 0.382
NGC4064   	181.04663	+18.44345	 2.925	  37.34	 0.350
NGC4067   	181.04816	+10.85435	 3.304	  17.85	 0.613
NGC4068   	181.00937	+52.58861	 0.747	  49.53	 0.568
NGC4080   	181.21585	+26.99262	 0.793	  19.95	 0.475
NGC4081   	181.14139	+64.43678	 1.485	  15.11	 0.233
NGC4085   	181.34460	+50.35275	 1.162	  25.66	 0.269
NGC4088   	181.39245	+50.53903	 1.143	  60.76	 0.379
NGC4094   	181.47487	-14.52646	 1.820	  64.27	 0.378
NGC4096   	181.50484	+47.47836	 1.572	  73.90	 0.274
NGC4100   	181.53584	+49.58231	 0.992	  56.02	 0.282
NGC4102   	181.59631	+52.71095	 7.906	  19.42	 0.614
NGC4105   	181.66986	-29.76018	 6.649	  67.94	 0.763
NGC4106   	181.68625	-29.76833	 4.561	  21.01	 0.772
NGC4108   	181.68587	+67.16322	 1.432	  11.91	 0.793
NGC4108B  	181.79765	+67.23517	 1.211	  20.49	 0.829
NGC4111   	181.76303	+43.06539	 4.259	  15.54	 0.303
NGC4116   	181.90482	+02.69044	 1.593	  60.67	 0.474
NGC4117   	181.94203	+43.12646	 2.918	  12.75	 0.426
NGC4120   	182.12918	+69.54485	 0.987	  23.22	 0.279
NGC4123   	182.04617	+02.87831	      	       	
NGC4127   	182.10988	+76.80400	 1.833	  19.41	 0.574
NGC4129   	182.22166	-09.03647	 0.893	  22.10	 0.227
NGC4133   	182.20801	+74.90429	 4.765	  21.14	 0.627
NGC4136   	182.32376	+29.92759	 1.333	  45.46	 0.951
NGC4138   	182.37412	+43.68532	 2.944	  24.71	 0.621
NGC4141   	182.44710	+58.84927	 0.839	  12.56	 0.781
NGC4142   	182.37633	+53.10422	 1.008	  24.74	 0.609
NGC4144   	182.49417	+46.45718	 1.382	  74.12	 0.236
NGC4145   	182.50635	+39.88386	 2.070	 110.27	 0.652
NGC4151   	182.63572	+39.40580	 5.429	  19.12	 0.910
NGC4152   	182.65630	+16.03293	 1.885	  17.01	 0.819
NGC4157   	182.76819	+50.48468	 1.133	  55.73	 0.149
NGC4158   	182.79236	+20.17577	 1.923	  16.00	 0.708
NGC4159   	182.72348	+76.12583	 1.151	  18.45	 0.308
NGC4162   	182.96861	+24.12368	 1.528	  20.17	 0.660
NGC4163   	183.03762	+36.16808	 1.029	  34.64	 0.690
NGC4165   	183.04922	+13.24645	 1.469	  22.58	 0.571
NGC4173   	183.08479	+29.21158	 0.761	  53.32	 0.192
NGC4178   	183.19351	+10.86600	 1.547	  98.86	 0.222
NGC4180   	183.26272	+07.03879	 1.568	  12.43	 0.379
NGC4183   	183.32025	+43.69827	 1.437	  55.35	 0.169
NGC4189   	183.44699	+13.42485	 0.745	  34.87	 0.744
NGC4190   	183.43399	+36.63127	 0.928	  32.94	 0.702
NGC4192   	183.45122	+14.90047	17.478	7630.50	 0.343
NGC4193   	183.47328	+13.17291	 1.497	  26.53	 0.464
NGC4194   	183.53989	+54.52667	      	       	
NGC4197   	183.66043	+05.80572	 1.482	  30.19	 0.188
NGC4203   	183.77093	+33.19724	 8.313	  60.25	 0.863
NGC4204   	183.80983	+20.65908	 2.038	  82.89	 0.342
NGC4205   	183.73160	+63.78276	 1.166	  17.36	 0.200
NGC4206   	183.82031	+13.02384	 1.503	  55.48	 0.179
NGC4207   	183.87682	+09.58494	 1.648	  15.63	 0.280
NGC4210   	183.81619	+65.98544	 0.899	  22.60	 0.746
NGC4212   	183.91406	+13.90147	 0.907	  38.14	 0.537
NGC4214   	183.91322	+36.32689	 1.391	  79.61	 0.707
NGC4216   	183.97685	+13.14940	 5.668	 103.22	 0.310
NGC4217   	183.96208	+47.09179	 1.411	  61.21	 0.123
NGC4220   	184.04889	+47.88335	 1.496	  32.16	 0.309
NGC4222   	184.09384	+13.30707	 1.148	  39.72	 0.098
NGC4224   	184.14067	+07.46212	 4.077	  39.00	 0.482
NGC4234   	184.28754	+03.68236	 0.902	  20.35	 0.790
NGC4235   	184.29130	+07.19166	 6.017	  45.27	 0.361
NGC4236   	184.17549	+69.46257	 1.320	 352.49	 0.232
NGC4237   	184.29756	+15.32395	 1.001	  24.62	 0.599
NGC4238   	184.23237	+63.40996	 1.134	  21.93	 0.354
NGC4242   	184.37572	+45.61929	 1.179	 100.74	 0.680
NGC4244   	184.37358	+37.80711	 0.676	 135.13	 0.154
NGC4245   	184.40326	+29.60800	 4.535	  39.67	 0.718
NGC4248   	184.45793	+47.40916	 1.181	  47.95	 0.347
NGC4250   	184.35959	+70.80261	 3.595	  11.65	 0.789
NGC4252   	184.62889	+05.55957	 1.109	  18.05	 0.273
NGC4254   	184.70677	+14.41649	 1.991	  55.03	 0.808
NGC4256   	184.67932	+65.89808	 4.692	  47.39	 0.228
NGC4258   	184.74008	+47.30372	 2.454	 142.87	 0.498
NGC4260   	184.84270	+06.09880	 2.947	  37.52	 0.491
NGC4262   	184.87742	+14.87772	 5.569	   9.55	 0.838
NGC4267   	184.93867	+12.79836	10.029	  78.37	 0.924
NGC4268   	184.94676	+05.28365	 3.611	  15.73	 0.495
NGC4273   	184.98360	+05.34337	 2.303	  19.46	 0.665
NGC4274   	184.96110	+29.61470	 3.941	  80.80	 0.585
NGC4276   	185.03123	+07.69199	 2.046	  28.43	 0.786
NGC4278   	185.02844	+29.28075	 4.453	  25.79	 0.891
NGC4283   	185.08661	+29.31090	 3.517	   9.09	 0.956
NGC4286   	185.17538	+29.34596	 1.324	  29.27	 0.634
NGC4287   	185.20189	+05.63971	 2.065	  13.56	 0.291
NGC4288   	185.15883	+46.29102	 1.406	  31.65	 0.599
NGC4289   	185.25960	+03.72196	 2.562	  14.89	 0.142
NGC4293   	185.30371	+18.38240	 2.697	  86.81	 0.375
NGC4294   	185.32411	+11.51111	 1.307	  37.98	 0.367
NGC4298   	185.38662	+14.60605	 1.151	  44.64	 0.547
NGC4299   	185.41750	+11.50269	 0.635	  23.14	 0.908
NGC4302   	185.42699	+14.59776	 1.241	  64.44	 0.100
NGC4303   	185.47896	+04.47359	 1.670	  69.07	 0.805
NGC4303A  	185.61352	+04.56630	 1.974	  21.99	 0.831
NGC4307   	185.52344	+09.04355	 1.166	  38.05	 0.167
NGC4309   	185.55145	+07.14439	 4.760	  55.56	 0.552
NGC4310   	185.60950	+29.20867	 1.505	  18.94	 0.384
NGC4312   	185.63066	+15.53792	 2.274	  37.31	 0.242
NGC4313   	185.66058	+11.80087	 2.758	  48.98	 0.268
NGC4314   	185.63324	+29.89530	 3.769	  57.24	 0.522
NGC4316   	185.67592	+09.33281	 0.877	  25.18	 0.141
NGC4319   	185.43269	+75.32262	 4.881	  48.87	 0.601
NGC4321   	185.72875	+15.82238	 3.596	 167.11	 0.800
NGC4324   	185.77572	+05.25049	 2.780	  21.62	 0.576
NGC4330   	185.82187	+11.36798	 1.625	  53.71	 0.123
NGC4331   	185.64933	+76.17331	 1.587	  38.37	 0.281
NGC4336   	185.87430	+19.42703	 1.828	  23.87	 0.705
NGC4343   	185.91121	+06.95394	 3.661	  18.69	 0.377
NGC4344   	185.90646	+17.54067	 0.964	  16.41	 0.943
NGC4346   	185.86642	+46.99388	 4.946	  22.59	 0.458
NGC4348   	185.97484	-03.44291	 1.126	  24.85	 0.221
NGC4351   	186.00650	+12.20502	 2.296	  43.27	 0.660
NGC4353   	186.00071	+07.78503	 0.502	  16.83	 0.550
NGC4355   	186.72762	-00.87764	 8.339	  21.57	 0.553
NGC4356   	186.06056	+08.53580	 1.177	  41.25	 0.119
NGC4359   	186.04608	+31.52161	 1.347	  39.82	 0.238
NGC4369   	186.15085	+39.38298	 2.762	  20.17	 0.887
NGC4370   	186.22888	+07.44457	 3.249	  17.44	 0.458
NGC4371   	186.23096	+11.70429	 3.644	  35.70	 0.755
NGC4374   	186.26560	+12.88698	 6.023	 101.46	 0.895
NGC4376   	186.32525	+05.74114	 0.966	  22.53	 0.607
NGC4378   	186.32532	+04.92502	 5.414	  31.55	 0.805
NGC4380   	186.34241	+10.01671	 2.094	  65.52	 0.535
NGC4383   	186.35632	+16.47001	 3.431	  12.51	 0.462
NGC4384   	186.30005	+54.50613	 1.500	  11.43	 0.715
NGC4385   	186.42839	+00.57259	 9.957	  72.49	 0.477
NGC4388   	186.44508	+12.66207	      	       	
NGC4389   	186.39419	+45.68523	 1.940	  45.72	 0.287
NGC4390   	186.46121	+10.45898	 1.094	  27.33	 0.688
NGC4393   	186.46417	+27.56111	 1.460	  61.65	 0.595
NGC4394   	186.48177	+18.21392	 9.251	 252.23	 0.646
NGC4395   	186.45384	+33.54675	 1.627	 358.51	 0.585
NGC4396   	186.49501	+15.67147	 1.537	  53.67	 0.267
NGC4402   	186.53152	+13.11279	 1.048	  43.96	 0.185
NGC4405   	186.52965	+16.18085	 1.618	  20.56	 0.675
NGC4406   	186.54922	+12.94597	 6.243	 258.90	 0.745
NGC4409   	186.74365	+02.49436	 0.652	  22.01	 0.412
NGC4411A  	186.62558	+08.87164	 1.293	  36.27	 0.937
NGC4411B  	186.69673	+08.88457	 1.795	  49.61	 0.959
NGC4412   	186.65042	+03.96464	 1.105	  21.11	 0.847
NGC4413   	186.63442	+12.61086	 2.596	  37.98	 0.711
NGC4414   	186.61287	+31.22354	 1.514	  31.43	 0.570
NGC4416   	186.69467	+07.91883	 1.285	  23.51	 0.957
NGC4419   	186.73514	+15.04742	 2.539	  21.76	 0.333
NGC4423   	186.78738	+05.88022	 1.315	  34.07	 0.168
NGC4424   	186.79826	+09.42052	 3.138	  53.49	 0.404
NGC4428   	186.86793	-08.16789	 2.415	  18.78	 0.463
NGC4430   	186.85992	+06.26264	 1.468	  39.35	 0.790
NGC4434   	186.90283	+08.15431	 5.104	  14.02	 0.923
NGC4437   	188.18994	+00.11504	 0.770	 134.94	 0.107
NGC4438   	186.94022	+13.00859	 5.106	  38.33	 0.532
NGC4442   	187.01622	+09.80362	 3.470	  23.21	 0.550
NGC4445   	187.06640	+09.43630	 0.839	  30.34	 0.164
NGC4448   	187.06428	+28.62030	 1.891	  36.63	 0.464
NGC4449   	187.04632	+44.09356	 1.841	  75.25	 0.540
NGC4450   	187.12347	+17.08495	 4.125	  89.66	 0.609
NGC4451   	187.16899	+09.25892	 0.690	  12.41	 0.555
NGC4454   	187.21144	-01.93914	 4.899	  67.95	 0.771
NGC4455   	187.18383	+22.82150	 0.883	  38.37	 0.346
NGC4457   	187.24588	+03.57061	 8.914	  50.66	 0.759
NGC4460   	187.18982	+44.86424	 1.926	  33.30	 0.271
NGC4461   	187.26254	+13.18386	 5.352	  33.42	 0.540
NGC4462   	187.33790	-23.16662	 3.303	  35.63	 0.464
NGC4470   	187.40750	+07.82406	 0.737	  16.07	 0.656
NGC4472   	187.44499	+08.00041	 4.489	 121.65	 0.830
NGC4480   	187.61159	+04.24647	 1.163	  24.93	 0.547
NGC4485   	187.62964	+41.70117	 0.901	  35.69	 0.662
NGC4487   	187.76858	-08.05391	 1.846	  64.47	 0.649
NGC4488   	187.71416	+08.36013	 3.211	  54.43	 0.380
NGC4489   	187.71767	+16.75870	 6.419	  33.41	 0.945
NGC4490   	187.65153	+41.64363	 1.005	  68.24	 0.383
NGC4491   	187.73805	+11.48355	 1.959	  26.58	 0.479
NGC4492   	187.74896	+08.07791	 6.443	 112.59	 0.937
NGC4494   	187.85014	+25.77498	 4.131	  53.43	 0.843
NGC4496A  	187.91336	+03.93947	 1.175	  52.17	 0.798
NGC4498   	187.91485	+16.85282	 1.429	  44.36	 0.386
NGC4501   	187.99673	+14.42041	 1.299	  66.60	 0.481
NGC4502   	188.01397	+16.68771	 0.930	  15.30	 0.544
NGC4503   	188.02580	+11.17643	 4.320	  36.66	 0.540
NGC4504   	188.07272	-07.56343	 1.321	  49.30	 0.624
NGC4506   	188.04369	+13.41966	 1.707	  25.33	 0.696
NGC4517A  	188.11717	+00.38975	 1.407	  72.84	 0.573
NGC4519   	188.37616	+08.65446	 2.068	  38.96	 0.849
NGC4522   	188.41524	+09.17487	 1.925	  40.04	 0.254
NGC4523   	188.44997	+15.16830	 1.566	  60.35	 0.683
NGC4525   	188.46330	+30.27752	 1.117	  34.89	 0.559
NGC4527   	188.53540	+02.65381	 6.222	  86.06	 0.329
NGC4528   	188.52502	+11.32192	 3.272	  10.63	 0.668
NGC4531   	188.56602	+13.07553	 1.353	  36.60	 0.674
NGC4532   	188.58054	+06.46770	 1.094	  27.21	 0.281
NGC4533   	188.59175	+02.32533	 1.173	  23.76	 0.233
NGC4534   	188.52255	+35.51835	 1.184	  28.01	 0.729
NGC4535   	188.58462	+08.19776	 1.152	  98.91	 0.768
NGC4536   	188.61304	+02.18788	16.555	 258.85	 0.537
NGC4539   	188.64484	+18.20258	 2.045	  52.46	 0.316
NGC4540   	188.71195	+15.55145	 1.040	  27.53	 0.748
NGC4544   	188.90252	+03.03453	 1.541	  18.11	 0.222
NGC4545   	188.64256	+63.52506	 1.038	  25.36	 0.628
NGC4546   	188.87294	-03.79323	 4.685	  23.28	 0.508
NGC4548   	188.86012	+14.49632	 4.779	 116.71	 0.819
NGC4550   	188.87755	+12.22096	 1.969	  16.89	 0.328
NGC4559   	188.99037	+27.95976	 1.250	  87.81	 0.416
NGC4561   	189.03390	+19.32259	 1.173	  20.59	 0.902
NGC4562   	188.89433	+25.84950	 0.904	  34.67	 0.349
NGC4565   	189.08668	+25.98739	 1.277	 120.44	 0.131
NGC4567   	189.13626	+11.25787	 1.174	  43.14	 0.650
NGC4568   	189.14288	+11.23863	 1.909	  44.33	 0.387
NGC4569   	189.20757	+13.16287	 3.356	 110.90	 0.399
NGC4571   	189.23488	+14.21736	 1.621	  65.48	 0.873
NGC4572   	188.94171	+74.24603	 1.051	  24.45	 0.218
NGC4579   	189.43165	+11.81809	 5.951	 119.22	 0.708
NGC4580   	189.45166	+05.36843	 1.045	  28.67	 0.684
NGC4584   	189.57430	+13.11002	 1.975	  21.21	 0.790
NGC4586   	189.61848	+04.31910	 9.464	 205.54	 0.408
NGC4591   	189.80183	+06.01221	 1.647	  15.67	 0.478
NGC4592   	189.82825	-00.53184	 0.915	  45.40	 0.298
NGC4593   	189.91455	-05.34421	      	       	
NGC4594   	189.99763	-11.62305	 3.486	 102.63	 0.433
NGC4595   	189.96629	+15.29780	 1.099	  22.14	 0.654
NGC4596   	189.98306	+10.17603	 5.263	  80.01	 0.675
NGC4597   	190.05388	-05.79929	 0.759	  49.21	 0.646
NGC4599   	190.11281	+01.19686	 3.467	  14.96	 0.400
NGC4602   	190.15353	-05.13301	 0.823	  36.40	 0.387
NGC4604   	190.18724	-05.30254	 1.280	  12.69	 0.273
NGC4605   	189.99742	+61.60919	 0.859	  57.31	 0.319
NGC4606   	190.23982	+11.91219	 2.905	  38.24	 0.471
NGC4607   	190.30170	+11.88663	 1.413	  27.71	 0.136
NGC4618   	190.38684	+41.15076	 1.491	  58.64	 0.809
NGC4625   	190.46959	+41.27372	 1.557	  22.20	 0.941
NGC4628   	190.60532	-06.97096	 7.479	  16.19	 0.307
NGC4629   	190.63637	-01.35059	 0.945	  18.97	 0.762
NGC4630   	190.62977	+03.96036	 2.259	  28.48	 0.686
NGC4631   	190.53337	+32.54151	 2.340	 111.90	 0.200
NGC4632   	190.63347	-00.08254	 0.808	  38.13	 0.383
NGC4633   	190.65454	+14.35558	 1.010	  35.13	 0.428
NGC4634   	190.67077	+14.29587	 1.409	  25.35	 0.115
NGC4635   	190.66356	+19.94523	 1.089	  37.01	 0.666
NGC4636   	190.70778	+02.68778	 5.978	 241.52	 0.814
