#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T06:09:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T06:09:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2f155%2frc3&-out=name%2caltname%2cRA2000%2cDE2000%2cT%2cD25%2cR25%2cPA%2cBT%2cAe%2cm%27e&-out.max=unlimited&BT=%3c13.5&-sort=BT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	Ae	(F5.2)	? Log Ae (effective aperture)	[ucd=instr.fov]
#Column	m'e	(F5.2)	? m'e	[ucd=phot.mag.sb]
name	altname	RA2000	DE2000	T	D25	R25	PA	BT	Ae	m'e
NGC   488   	 UGC   907     	01 21 47.1	+05 15 17	 3.0	 1.72	 0.13	 15	11.15	 1.24	12.84
NGC  3310   	 UGC  5786     	10 38 46.1	+53 30 08	 4.0	 1.49	 0.11	   	11.15	 0.61	 9.91
NGC  4088   	 UGC  7081     	12 05 35.4	+50 32 32	 4.0	 1.76	 0.41	 43	11.15	 1.27	12.93
NGC   720   	 MCG -2- 5- 68 	01 53 00.4	-13 44 21	-5.0	 1.67	 0.29	140	11.16	 1.08	12.12
NGC  1350   	 ESO  358- 13  	03 31 08.4	-33 37 44	 1.8	 1.72	 0.27	  0	11.16	 1.20	12.66
NGC  2613   	 ESO  495- 18  	08 33 22.6	-22 58 24	 3.0	 1.86	 0.61	113	11.16	 1.35	13.40
NGC  3893   	 UGC  6778     	11 48 39.1	+48 42 40	 5.0	 1.65	 0.21	165	11.16	     	
NGC  4473   	 UGC  7631     	12 29 48.8	+13 25 49	-5.0	 1.65	 0.25	100	11.16	 0.94	11.41
NGC  4536   	 UGC  7732     	12 34 26.9	+02 11 19	 4.0	 1.88	 0.37	130	11.16	 1.44	13.70
IC   5052   	 ESO   74- 15  	20 52 06.3	-69 12 14	 7.0	 1.77	 0.88	143	11.16	 1.42	
NGC  5364   	 UGC  8853     	13 56 12.0	+05 00 55	 4.0	 1.83	 0.19	 30	11.17	 1.41	13.71
NGC  2985   	 UGC  5253     	09 50 20.9	+72 16 45	 2.0	 1.66	 0.10	  0	11.18	     	
Leo I       	 UGC  5470     	10 08 27.5	+12 18 27	-5.0	 1.99	 0.12	 80	11.18	 1.70	15.17
NGC  5585   	 UGC  9179     	14 19 48.4	+56 43 49	 7.0	 1.76	 0.19	 30	11.20	 1.53	14.34
NGC   404   	 UGC   718     	01 09 27.0	+35 43 04	-3.0	 1.54	 0.00	   	11.21	 0.97	11.55
NGC  4618   	 UGC  7853     	12 41 33.0	+41 09 03	 9.0	 1.62	 0.09	 25	11.22	 1.26	12.95
NGC   134   	 ESO  350- 23  	00 30 22.2	-33 14 44	 4.0	 1.93	 0.62	 50	11.23	 1.24	12.92
NGC  2442   	 ESO   59-  8  	07 36 23.9	-69 31 50	 3.7	 1.74	 0.05	   	11.24	 1.45	13.99
NGC  3377   	 UGC  5899     	10 47 41.7	+13 59 00	-5.0	 1.72	 0.24	 35	11.24	 1.06	11.98
NGC  7410   	 ESO  346- 12  	22 55 00.7	-39 39 41	 1.0	 1.72	 0.51	 45	11.24	 1.15	12.48
NGC  1332   	 ESO  548- 18  	03 26 17.3	-21 20 09	-3.0	 1.67	 0.51	148	11.25	 0.97	11.59
NGC  3941   	 UGC  6857     	11 52 55.1	+36 59 14	-2.0	 1.54	 0.18	 10	11.25	 0.88	11.16
NGC  7552   	 ESO  291- 12  	23 16 10.9	-42 35 01	 2.0	 1.53	 0.10	  1	11.25	 1.01	11.79
NGC  4293   	 UGC  7405     	12 21 13.0	+18 22 58	 0.0	 1.75	 0.34	 72	11.26	 1.44	13.89
NGC  1344   	 ESO  418-  5  	03 28 19.1	-31 04 05	-5.0	 1.78	 0.24	165	11.27	 0.95	11.61
NGC  5061   	 ESO  508- 38  	13 18 04.9	-26 50 10	-5.0	 1.55	 0.07	   	11.28	 0.94	11.47
NGC  5474   	 UGC  9013     	14 05 02.1	+53 39 47	 6.0	 1.68	 0.05	   	11.28	 1.40	13.77
NGC  1425   	 ESO  419-  4  	03 42 11.5	-29 53 40	 3.0	 1.76	 0.35	129	11.29	 1.32	13.33
NGC  5746   	 UGC  9499     	14 44 56.4	+01 57 16	 3.0	 1.87	 0.75	170	11.29	 1.40	13.78
NGC   524   	 UGC   968     	01 24 47.8	+09 32 21	-1.0	 1.44	 0.00	   	11.30	 1.22	12.84
NGC  2784   	 ESO  497- 23  	09 12 18.7	-24 10 22	-2.0	 1.74	 0.39	 73	11.30	 0.95	11.54
NGC  4546   	 MCG -1-32- 27 	12 35 29.5	-03 47 37	-3.0	 1.52	 0.36	 78	11.30	 0.96	11.59
            	 ESO  185- 54  	20 03 27.4	-55 56 51	-5.0	 1.55	 0.17	122	11.30	 0.94	
IC   5201   	 ESO  289- 18  	22 20 57.4	-46 02 05	 6.0	 1.93	 0.34	 33	11.30	     	
NGC  1084   	 MCG -1- 8-  7 	02 45 59.8	-07 34 42	 5.0	 1.51	 0.25	 35	11.31	 0.97	11.61
NGC  6684   	 ESO  104- 16  	18 48 57.5	-65 10 26	-2.0	 1.60	 0.18	 35	11.31	 1.05	12.05
NGC    45   	 ESO  473-  1  	00 14 03.2	-23 11 01	 8.0	 1.93	 0.16	142	11.32	 1.57	14.60
NGC  3166   	 UGC  5516     	10 13 45.0	+03 25 31	 0.0	 1.68	 0.31	 87	11.32	 0.92	11.49
NGC  4459   	 UGC  7614     	12 29 00.1	+13 58 46	-1.0	 1.55	 0.12	110	11.32	 1.07	12.12
NGC  5371   	 UGC  8846     	13 55 40.6	+40 27 44	 4.0	 1.64	 0.10	  8	11.32	 1.30	13.31
NGC  7090   	 ESO  188- 12  	21 36 28.6	-54 33 27	 5.0	 1.87	 0.77	127	11.33	 1.35	13.64
NGC  1187   	 ESO  480- 23  	03 02 37.7	-22 52 04	 5.0	 1.74	 0.13	130	11.34	 1.36	13.51
NGC  4274   	 UGC  7377     	12 19 50.9	+29 36 54	 2.0	 1.83	 0.43	102	11.34	 1.18	12.73
NGC  3810   	 UGC  6644     	11 40 58.5	+11 28 17	 5.0	 1.63	 0.15	 15	11.35	 1.10	12.34
NGC  4596   	 UGC  7828     	12 39 56.1	+10 10 33	-1.0	 1.60	 0.13	135	11.35	 1.10	12.40
NGC  1574   	 ESO  157- 22  	04 21 59.1	-56 58 26	-2.7	 1.53	 0.04	 35	11.36	 0.85	11.10
NGC  3640   	 UGC  6368     	11 21 06.8	+03 14 08	-5.0	 1.60	 0.10	100	11.36	 1.03	12.00
NGC  7507   	 ESO  469- 19  	23 12 07.6	-28 32 29	-5.0	 1.44	 0.01	   	11.36	 1.01	11.90
NGC  1326   	 ESO  357- 26  	03 23 56.4	-36 27 50	-1.0	 1.59	 0.13	 77	11.37	 0.97	11.76
NGC  4242   	 UGC  7323     	12 17 30.2	+45 37 21	 8.0	 1.70	 0.12	 25	11.37	 1.53	14.51
NGC  7582   	 ESO  291- 16  	23 18 23.3	-42 22 11	 2.0	 1.70	 0.38	157	11.37	 1.21	12.79
NGC   988   	 MCG -2- 7- 37 	02 35 29.7	-09 21 35	 5.7	 1.66	 0.27	   	11.38	 0.71	10.42
NGC  1617   	 ESO  157- 41  	04 31 39.6	-54 36 05	 1.0	 1.63	 0.31	107	11.38	 1.03	12.02
NGC  2146   	 UGC  3429     	06 18 40.1	+78 21 19	 2.0	 1.78	 0.25	 56	11.38	 1.31	13.42
NGC  4442   	 UGC  7583     	12 28 03.7	+09 48 18	-2.0	 1.66	 0.41	 87	11.38	 0.91	11.36
NGC  4477   	 UGC  7638     	12 30 02.5	+13 38 11	-2.0	 1.58	 0.04	 15	11.38	 1.10	12.33
NGC  4527   	 UGC  7721     	12 34 08.8	+02 39 13	 4.0	 1.79	 0.47	 67	11.38	 1.25	13.04
IC    356   	 UGC  2953     	04 07 47.1	+69 48 47	 2.0	 1.72	 0.13	 90	11.39	 1.67	15.12
NGC  4651   	 UGC  7901     	12 43 42.6	+16 23 40	 5.0	 1.60	 0.18	 80	11.39	 1.08	12.20
NGC  7513   	 ESO  469- 22  	23 13 13.4	-28 21 34	 3.0	 1.50	 0.18	108	11.39	 1.23	
NGC   864   	 UGC  1736     	02 15 27.4	+06 00 05	 5.0	 1.67	 0.12	 20	11.40	 1.51	14.44
Maffei I    	 UGCA   34     	02 36 36.3	+59 39 21	-3.0	 0.78	 0.08	100	11.40	     	
NGC  1055   	 UGC  2173     	02 41 44.7	+00 26 31	 3.0	 1.88	 0.45	105	11.40	 1.41	13.92
NGC  1255   	 ESO  481- 13  	03 13 32.7	-25 43 31	 4.0	 1.62	 0.20	117	11.40	 1.35	13.64
NGC  1448   	 ESO  249- 16  	03 44 32.0	-44 38 38	 6.0	 1.88	 0.65	 41	11.40	 1.34	13.67
NGC  4760   	 MCG -2-33- 41 	12 53 07.3	-10 29 40	-5.0	 1.30	 0.02	   	11.40	 1.13	
NGC  1052   	 MCG -1- 7- 34 	02 41 04.9	-08 15 22	-5.0	 1.48	 0.16	120	11.41	 1.05	12.15
NGC  3557   	 ESO  377- 16  	11 09 57.5	-37 32 17	-5.0	 1.61	 0.14	 30	11.41	 1.00	12.13
NGC  3887   	 MCG -3-30- 12 	11 47 04.7	-16 51 16	 4.0	 1.52	 0.12	 20	11.41	 1.38	13.27
NGC  4261   	 UGC  7360     	12 19 22.8	+05 49 36	-5.0	 1.61	 0.05	160	11.41	 1.08	12.26
NGC  3147   	 UGC  5532     	10 16 53.2	+73 24 04	 4.0	 1.59	 0.05	155	11.43	 1.07	12.27
NGC  4314   	 UGC  7443     	12 22 32.2	+29 53 47	 1.0	 1.62	 0.05	   	11.43	 1.06	12.22
IC   5267   	 ESO  290- 29  	22 57 13.4	-43 23 45	 0.0	 1.72	 0.13	140	11.43	 1.10	12.42
NGC   578   	 ESO  476- 15  	01 30 28.2	-22 39 57	 5.0	 1.69	 0.20	110	11.44	 1.30	13.43
NGC   584   	 MCG -1- 4- 60 	01 31 20.9	-06 52 06	-5.0	 1.62	 0.26	 55	11.44	 0.92	11.53
NGC  1385   	 ESO  482- 16  	03 37 28.0	-24 30 12	 6.0	 1.53	 0.23	165	11.45	 0.99	12.01
NGC  3412   	 UGC  5952     	10 50 53.2	+13 24 46	-2.0	 1.56	 0.25	155	11.45	 0.94	11.64
NGC  5813   	 UGC  9655     	15 01 11.2	+01 42 08	-5.0	 1.62	 0.14	145	11.45	 1.28	13.34
NGC  1087   	 UGC  2245     	02 46 24.9	-00 29 46	 5.0	 1.57	 0.22	  5	11.46	 1.16	12.79
NGC  1543   	 ESO  118- 10  	04 12 43.2	-57 44 14	-2.0	 1.69	 0.24	 93	11.46	 1.09	12.33
NGC  4698   	 UGC  7970     	12 48 23.5	+08 29 16	 2.0	 1.60	 0.21	170	11.46	 1.04	12.24
NGC  5566   	 UGC  9175     	14 20 20.5	+03 55 59	 2.0	 1.82	 0.48	 35	11.46	     	
NGC   278   	 UGC   528     	00 52 04.6	+47 33 00	 3.0	 1.32	 0.02	   	11.47	 0.79	10.91
NGC   672   	 UGC  1256     	01 47 53.5	+27 26 01	 6.0	 1.86	 0.45	 65	11.47	 1.37	13.74
NGC  1073   	 UGC  2210     	02 43 40.4	+01 22 36	 5.0	 1.69	 0.04	 15	11.47	 1.50	14.35
NGC  1537   	 ESO  420- 12  	04 13 41.0	-31 38 46	-2.5	 1.59	 0.18	 98	11.47	 0.93	11.69
NGC  1637   	 MCG  0-12- 68 	04 41 28.2	-02 51 30	 5.0	 1.60	 0.09	   	11.47	 1.30	13.46
NGC  3319   	 UGC  5789     	10 39 10.0	+41 41 18	 6.0	 1.79	 0.26	 37	11.48	 1.63	15.12
NGC  4096   	 UGC  7090     	12 06 01.0	+47 28 31	 5.0	 1.82	 0.57	 20	11.48	 1.28	13.37
NGC  4666   	 UGC  7926     	12 45 09.0	-00 27 38	 5.0	 1.66	 0.55	 42	11.49	 1.04	12.18
NGC  4856   	 MCG -2-33- 78 	12 59 21.3	-15 02 32	 0.0	 1.63	 0.56	 35	11.49	 0.94	11.68
NGC  5921   	 UGC  9824     	15 21 56.4	+05 04 11	 4.0	 1.69	 0.09	130	11.49	 1.29	13.43
NGC   685   	 ESO  152- 24  	01 47 43.1	-52 45 40	 5.0	 1.57	 0.05	   	11.50	 1.42	14.11
NGC  4151   	 UGC  7166     	12 10 33.0	+39 24 28	 2.0	 1.80	 0.15	 50	11.50	 0.66	10.29
NGC  7727   	 MCG -2-60-  8 	23 39 53.8	-12 17 36	 1.0	 1.67	 0.12	   	11.50	 1.09	12.44
NGC  5121   	 ESO  382- 57  	13 24 46.1	-37 41 01	 1.0	 1.29	 0.11	 36	11.51	 0.82	
NGC  7606   	 MCG -2-59- 12 	23 19 04.9	-08 29 08	 3.0	 1.73	 0.40	145	11.51	 1.31	13.55
NGC  7713   	 ESO  347- 28  	23 36 13.5	-37 56 24	 7.0	 1.65	 0.39	168	11.51	 1.16	12.80
NGC  2805   	 UGC  4936     	09 20 20.4	+64 06 12	 7.0	 1.80	 0.12	125	11.52	 1.63	15.16
NGC  4754   	 UGC  8010     	12 52 17.7	+11 18 49	-3.0	 1.66	 0.27	 23	11.52	 0.93	11.68
NGC  2366   	 UGC  3851     	07 28 54.4	+69 12 52	10.0	 1.91	 0.39	 25	11.53	 1.63	14.94
NGC  3511   	 ESO  502- 13  	11 03 23.7	-23 05 11	 5.0	 1.76	 0.45	 76	11.53	 1.27	13.35
NGC  3079   	 UGC  5387     	10 01 58.2	+55 40 43	 7.0	 1.90	 0.74	165	11.54	 1.21	13.08
NGC  3949   	 UGC  6869     	11 53 41.5	+47 51 35	 4.0	 1.46	 0.24	120	11.54	     	
NGC  5850   	 UGC  9715     	15 07 07.9	+01 32 47	 3.0	 1.63	 0.06	140	11.54	 1.46	14.33
NGC  7205   	 ESO  146-  9  	22 08 33.7	-57 26 35	 4.0	 1.61	 0.31	 73	11.55	 1.15	12.79
NGC  7814   	 UGC     8     	00 03 15.1	+16 08 45	 2.0	 1.74	 0.38	135	11.56	 1.17	12.90
NGC  1042   	 MCG -2- 7- 54 	02 40 24.0	-08 26 02	 6.0	 1.67	 0.11	   	11.56	 1.50	14.38
IC   4991   	 ESO  340- 11  	20 18 23.1	-41 03 01	-2.0	 1.41	 0.16	145	11.56	 1.06	
NGC  1371   	 ESO  482- 10  	03 35 00.7	-24 56 04	 1.0	 1.75	 0.16	135	11.57	 1.10	12.73
NGC  4036   	 UGC  7005     	12 01 27.3	+61 53 41	-3.0	 1.63	 0.40	 85	11.57	 1.01	12.00
NGC  1964   	 ESO  554- 10  	05 33 21.1	-21 56 51	 3.0	 1.75	 0.42	 32	11.58	 0.97	11.92
NGC  3087   	 ESO  374- 15  	09 59 08.8	-34 13 30	-4.2	 1.39	 0.08	   	11.58	 0.79	
NGC  4251   	 UGC  7338     	12 18 08.0	+28 10 32	-2.0	 1.56	 0.39	100	11.58	 0.77	10.96
NGC  3423   	 UGC  5962     	10 51 13.3	+05 50 31	 6.0	 1.58	 0.07	 10	11.59	 1.08	12.50
NGC  3718   	 UGC  6524     	11 32 35.7	+53 03 59	 1.0	 1.91	 0.31	 15	11.59	 1.30	13.61
IC   5271   	 ESO  406- 34  	22 58 02.1	-33 44 32	 3.0	 1.42	 0.49	138	11.59	 0.89	
NGC   210   	 MCG -2- 2- 81 	00 40 34.9	-13 52 26	 3.0	 1.70	 0.18	165	11.60	 1.37	13.94
NGC  1302   	 ESO  481- 20  	03 19 50.8	-26 03 36	 0.0	 1.59	 0.02	   	11.60	 1.06	12.39
NGC  1744   	 ESO  486-  5  	04 59 58.3	-26 01 36	 7.0	 1.91	 0.27	168	11.60	 1.45	14.31
NGC  3898   	 UGC  6787     	11 49 15.4	+56 05 02	 2.0	 1.64	 0.23	107	11.60	 1.00	12.09
NGC  4105   	 ESO  440- 54  	12 06 40.7	-29 45 42	-5.0	 1.43	 0.13	151	11.60	 1.06	12.36
NGC  4689   	 UGC  7965     	12 47 45.8	+13 45 51	 4.0	 1.63	 0.09	   	11.60	     	
NGC  4958   	 MCG -1-33- 84 	13 05 48.9	-08 01 14	-2.0	 1.61	 0.51	 15	11.60	 0.76	10.89
NGC  7479   	 UGC 12343     	23 04 57.1	+12 19 18	 5.0	 1.61	 0.12	 25	11.60	 1.28	13.53
NGC  3998   	 UGC  6946     	11 57 56.6	+55 27 15	-2.0	 1.43	 0.08	140	11.61	 0.76	10.90
NGC  4902   	 MCG -2-33- 92 	13 00 59.7	-14 30 49	 3.0	 1.48	 0.05	   	11.61	 1.21	13.15
IC   4296   	 ESO  383- 39  	13 36 38.9	-33 57 59	-5.0	 1.53	 0.02	   	11.61	 1.14	12.84
NGC  3962   	 MCG -2-30- 40 	11 54 39.8	-13 58 23	-5.0	 1.41	 0.06	 10	11.62	 1.07	12.46
NGC  7314   	 ESO  533- 53  	22 35 45.8	-26 03 03	 4.0	 1.66	 0.34	  3	11.62	 1.20	13.11
NGC  4111   	 UGC  7103     	12 07 02.7	+43 04 02	-1.0	 1.66	 0.67	150	11.63	 0.55	 9.90
NGC  5084   	 ESO  576- 33  	13 20 16.8	-21 49 37	-2.0	 1.97	 0.73	 80	11.63	 1.23	13.27
NGC  5101   	 ESO  508- 58  	13 21 46.7	-27 25 53	 0.0	 1.73	 0.07	   	11.63	 1.05	12.37
NGC   986   	 ESO  299-  7  	02 33 34.2	-39 02 43	 2.0	 1.59	 0.12	150	11.64	 1.15	12.88
NGC  3338   	 UGC  5826     	10 42 07.5	+13 44 52	 5.0	 1.77	 0.21	100	11.64	 1.28	13.53
NGC  6902   	 ESO  285-  8  	20 24 27.8	-43 39 09	 3.1	 1.75	 0.16	153	11.64	 1.38	14.03
NGC  6951   	 UGC 11604     	20 37 15.2	+66 06 22	 4.0	 1.59	 0.08	170	11.64	 1.49	14.58
NGC  1947   	 ESO   85- 87  	05 26 47.5	-63 45 41	-3.0	 1.48	 0.07	119	11.65	 1.03	12.47
NGC  3642   	 UGC  6385     	11 22 18.4	+59 04 34	 4.0	 1.73	 0.08	105	11.65	 1.22	13.24
NGC  4143   	 UGC  7142     	12 09 36.6	+42 32 11	-2.0	 1.36	 0.20	144	11.65	 1.01	12.19
NGC  7184   	 ESO  601-  9  	22 02 39.8	-20 48 46	 5.0	 1.78	 0.61	 62	11.65	 1.37	13.99
NGC  4027   	 ESO  572- 37  	11 59 30.1	-19 16 05	 8.0	 1.50	 0.12	167	11.66	 1.08	12.45
NGC  4691   	 MCG  0-33- 13 	12 48 13.5	-03 19 59	 0.0	 1.45	 0.09	 85	11.66	 0.86	11.45
NGC  6868   	 ESO  233- 39  	20 09 53.8	-48 22 45	-5.0	 1.55	 0.10	 86	11.66	 1.05	12.40
NGC   821   	 UGC  1631     	02 08 21.1	+10 59 44	-5.0	 1.41	 0.20	 25	11.67	 1.22	13.26
NGC  1201   	 ESO  480- 28  	03 04 08.3	-26 04 03	-2.0	 1.56	 0.23	  7	11.67	 0.97	12.01
NGC  3432   	 UGC  5986     	10 52 31.3	+36 37 08	 9.0	 1.83	 0.66	 38	11.67	 1.32	13.73
NGC  4026   	 UGC  6985     	11 59 25.6	+50 57 43	-2.0	 1.72	 0.61	178	11.67	 0.74	10.90
NGC  5054   	 MCG -3-34- 39 	13 16 58.4	-16 38 07	 4.0	 1.71	 0.24	160	11.67	 1.22	13.26
NGC  5333   	 ESO  221- 17  	13 54 24.4	-48 30 43	-2.0	 1.28	 0.30	 52	11.67	 0.79	
NGC  1387   	 ESO  358- 36  	03 36 57.1	-35 30 23	-3.0	 1.45	 0.00	   	11.68	 0.85	11.55
NGC  4568   	 UGC  7776     	12 36 34.7	+11 14 15	 4.0	 1.66	 0.36	 23	11.68	     	
NGC  4589   	 UGC  7797     	12 37 25.6	+74 11 41	-5.0	 1.50	 0.09	 90	11.69	 1.11	12.73
NGC  5018   	 ESO  576- 10  	13 13 01.0	-19 31 12	-5.0	 1.52	 0.13	112	11.69	 0.88	11.58
NGC  6015   	 UGC 10075     	15 51 25.5	+62 18 36	 6.0	 1.73	 0.40	 28	11.69	 1.22	13.31
NGC  1533   	 ESO  157-  3  	04 09 51.4	-56 07 14	-3.0	 1.44	 0.07	151	11.70	 1.00	12.21
NGC  3059   	 ESO   37-  7  	09 50 08.1	-73 55 17	 4.0	 1.56	 0.05	   	11.70	 1.26	13.50
NGC  3136   	 ESO   92-  8  	10 05 48.2	-67 22 39	-5.0	 1.49	 0.16	 30	11.70	 1.09	12.68
NGC  3245   	 UGC  5663     	10 27 18.3	+28 30 29	-2.0	 1.51	 0.26	177	11.70	 0.95	11.94
NGC  3608   	 UGC  6299     	11 16 58.7	+18 08 57	-5.0	 1.50	 0.09	 75	11.70	 1.05	12.48
NGC  3610   	 UGC  6319     	11 18 25.9	+58 47 14	-5.0	 1.43	 0.07	   	11.70	 0.71	10.74
            	 ESO  274-  1  	15 14 13.6	-46 48 45	 6.7	 2.04	 0.84	 38	11.70	     	
NGC  7144   	 ESO  237- 11  	21 52 42.9	-48 15 16	-5.0	 1.57	 0.01	   	11.70	 1.03	12.54
NGC   625   	 ESO  297-  5  	01 35 05.2	-41 26 11	 9.0	 1.76	 0.48	 92	11.71	 1.13	12.85
NGC  2217   	 ESO  489- 42  	06 21 39.6	-27 14 00	-1.0	 1.65	 0.03	   	11.71	 1.00	12.20
NGC   289   	 ESO  411- 25  	00 52 42.2	-31 12 22	 4.0	 1.71	 0.15	130	11.72	 1.04	12.41
NGC  2986   	 ESO  566-  5  	09 44 16.3	-21 16 42	-5.0	 1.50	 0.06	105	11.72	 1.08	12.61
NGC  4643   	 UGC  7895     	12 43 20.2	+01 58 41	 0.0	 1.49	 0.13	 48	11.72	 0.76	11.01
NGC  7049   	 ESO  236-  1  	21 19 00.3	-48 33 50	-2.0	 1.63	 0.16	 57	11.72	 0.91	11.76
NGC  1961   	 UGC  3334     	05 42 04.4	+69 22 46	 5.0	 1.66	 0.19	 85	11.73	 1.30	13.72
NGC  3239   	 UGC  5637     	10 25 05.6	+17 09 35	10.0	 1.70	 0.18	   	11.73	 1.09	12.67
NGC  3507   	 UGC  6123     	11 03 25.6	+18 08 15	 3.0	 1.53	 0.07	110	11.73	     	
NGC  4394   	 UGC  7523     	12 25 56.1	+18 12 54	 3.0	 1.56	 0.05	   	11.73	 1.18	13.15
NGC  5204   	 UGC  8490     	13 29 36.4	+58 25 04	 9.0	 1.70	 0.22	  5	11.73	 1.22	13.32
NGC  6643   	 UGC 11218     	18 19 46.3	+74 34 13	 5.0	 1.58	 0.30	 38	11.73	 1.12	12.82
NGC  1527   	 ESO  201- 20  	04 08 24.4	-47 53 50	-2.7	 1.57	 0.43	 78	11.74	 0.88	11.63
NGC  4435   	 UGC  7575     	12 27 40.6	+13 04 48	-2.0	 1.44	 0.14	 13	11.74	 0.84	11.48
IC   4662   	 ESO  102- 14  	17 47 06.4	-64 38 25	10.0	 1.44	 0.23	105	11.74	 0.88	11.63
NGC  4388   	 UGC  7520     	12 25 47.0	+12 39 42	 3.0	 1.75	 0.64	 92	11.76	 1.19	13.25
NGC  4457   	 UGC  7609     	12 28 59.3	+03 34 16	 0.0	 1.43	 0.07	   	11.76	 0.76	11.05
NGC  5701   	 UGC  9436     	14 39 11.2	+05 21 57	 0.0	 1.63	 0.02	   	11.76	 1.22	13.35
NGC  1427   	 ESO  358- 52  	03 42 19.6	-35 23 36	-4.1	 1.56	 0.17	 76	11.77	 1.01	12.35
NGC  3665   	 UGC  6426     	11 24 43.3	+38 45 47	-2.0	 1.39	 0.08	 30	11.77	 0.98	12.16
IC   4182   	 UGC  8188     	13 05 49.4	+37 36 21	 9.0	 1.78	 0.04	   	11.77	     	
NGC  1493   	 ESO  249- 33  	03 57 27.8	-46 12 38	 6.0	 1.54	 0.03	   	11.78	 1.24	13.47
NGC  3626   	 UGC  6343     	11 20 03.7	+18 21 30	-1.0	 1.43	 0.14	157	11.78	 0.94	11.97
NGC  3646   	 UGC  6376     	11 21 43.2	+20 10 16	 4.0	 1.59	 0.24	 50	11.78	 1.26	13.57
NGC  4145   	 UGC  7154     	12 10 02.2	+39 52 52	 7.0	 1.77	 0.14	100	11.78	 1.55	14.49
NGC  2715   	 UGC  4759     	09 08 07.1	+78 05 11	 5.0	 1.69	 0.47	 22	11.79	 1.32	13.88
NGC  3223   	 ESO  375- 12  	10 21 36.0	-34 16 00	 3.0	 1.61	 0.22	135	11.79	 1.15	13.03
NGC  3877   	 UGC  6745     	11 46 08.0	+47 29 39	 5.0	 1.74	 0.63	 35	11.79	 1.21	13.40
NGC  4371   	 UGC  7493     	12 24 55.2	+11 42 16	-1.0	 1.60	 0.25	 95	11.79	 0.89	11.83
NGC  6217   	 UGC 10470     	16 32 40.2	+78 11 57	 4.0	 1.48	 0.08	   	11.79	 1.13	12.93
IC    239   	 UGC  2080     	02 36 27.9	+38 58 12	 6.0	 1.66	 0.04	   	11.80	     	
NGC  1379   	 ESO  358- 27  	03 36 03.3	-35 26 26	-5.0	 1.38	 0.02	   	11.80	 1.14	12.87
NGC  1546   	 ESO  157- 12  	04 14 36.7	-56 03 39	-1.3	 1.48	 0.26	147	11.80	 1.27	13.65
NGC  3275   	 ESO  375- 50  	10 30 51.8	-36 44 25	 2.0	 1.45	 0.12	   	11.80	 0.85	
NGC  3945   	 UGC  6860     	11 53 14.7	+60 40 36	-1.0	 1.72	 0.18	 15	11.80	 0.88	11.64
NGC  4203   	 UGC  7256     	12 15 05.3	+33 11 53	-3.0	 1.53	 0.03	 10	11.80	 0.83	11.44
NGC  4751   	 ESO  323- 29  	12 52 51.5	-42 39 35	-3.0	 1.48	 0.42	175	11.80	 0.88	
IC     10   	 UGC   192     	00 20 24.6	+59 17 30	10.0	 1.80	 0.09	   	11.81	     	
NGC  6140   	 UGC 10359     	16 20 57.1	+65 23 30	 5.5	 1.80	 0.14	 95	11.81	 1.41	14.35
NGC  1058   	 UGC  2193     	02 43 30.0	+37 20 30	 5.0	 1.48	 0.03	   	11.82	     	
